# Italiano. Format: Artist | Title | Year
J-Ax & Fedez | Senza pagare | 2017
Fabio Rovazzi | Andiamo a comandare | 2016
Baby K | Roma-Bangkok | 2015
Loredana Bertè | Non sono una signora | 1982
Lo Stato Sociale | Una vita in vacanza | 2018
Francesco Gabbani | Occidentali's Karma | 2017
Diodato | Fai rumore | 2020
Coma_Cose | Fiamme negli occhi | 2021
La Rappresentante di Lista | Ciao ciao | 2022
Tananai | Tango | 2023
Geolier | I p' me, tu p' te | 2024
Olly | Balorda nostalgia | 2025
Achille Lauro | Rolls Royce | 2020
Colapesce & Dimartino | Musica leggerissima | 2021
Cesare Cremonini | Poetica | 2017
Lunapop | 50 Special | 1999
Tiromancino | Due destini | 2000
Articolo 31 | Domani smetto | 2002
Umberto Tozzi & Raf | Gente di mare | 1987
Raf | Self Control | 1984
Righeira | Vamos a la playa | 1983
Sabrina Salerno | Siamo donne | 1991
Mietta | Vattene amore | 1990
Rino Gaetano | Ma il cielo è sempre più blu | 1975
Rino Gaetano | Gianna | 1978
