# English — 1990s to today. Format: Artist | Title | Year

# --- 90s ---
Snoop Dogg | Drop It Like It's Hot | 2004
Dr. Dre | Still D.R.E. | 1999
Eminem | Lose Yourself | 2002
Eminem | Without Me | 2002
Eminem | The Real Slim Shady | 2000
Eminem | Stan | 2000
Eminem | Mockingbird | 2004
Eminem | Love the Way You Lie | 2010
Eminem | Not Afraid | 2010
Eminem | Superman | 2002
Eminem | My Name Is | 1999
Eminem | Rap God | 2013
Eminem | The Monster | 2013
Eminem | Till I Collapse | 2002
Santana | Smooth | 1999
Santana | Maria Maria | 1999
Bryan Adams | 18 til I Die | 1996
Madonna | Ray of Light | 1998
Moby | Porcelain | 1999
Fatboy Slim | Praise You | 1998
The Prodigy | Firestarter | 1996
Faithless | Insomnia | 1995
Chemical Brothers | Hey Boy Hey Girl | 1999
Daft Punk | One More Time | 2000
Daft Punk | Around the World | 1997
Daft Punk | Harder, Better, Faster, Stronger | 2001
Daft Punk | Get Lucky | 2013
Daft Punk | Instant Crush | 2013
Modjo | Lady (Hear Me Tonight) | 2000
Stardust | Music Sounds Better with You | 1998
Bomfunk MC's | Freestyler | 1999
Alice Deejay | Better Off Alone | 1999
ATB | 9 PM (Till I Come) | 1998
Darude | Sandstorm | 1999
Sash! | Ecuador | 1997
Robin S | Show Me Love | 1990
Crystal Waters | Gypsy Woman (She's Homeless) | 1991
C+C Music Factory | Gonna Make You Sweat (Everybody Dance Now) | 1990
Technotronic | Pump Up the Jam | 1989
Black Box | Ride on Time | 1989
Deee-Lite | Groove Is in the Heart | 1990
Right Said Fred | I'm Too Sexy | 1991
Divinyls | I Touch Myself | 1990
Roxette | Joyride | 1991
EMF | Unbelievable | 1990
Jesus Jones | Right Here, Right Now | 1990
Jamiroquai | Virtual Insanity | 1996
Jamiroquai | Cosmic Girl | 1996
Jamiroquai | Canned Heat | 1999
Jamiroquai | Space Cowboy | 1994
Green Day | Basket Case | 1994
Green Day | Good Riddance (Time of Your Life) | 1997
Green Day | When I Come Around | 1994
Green Day | American Idiot | 2004
Green Day | Boulevard of Broken Dreams | 2004
Green Day | Wake Me Up When September Ends | 2004
Green Day | Holiday | 2004
The Offspring | Pretty Fly (For a White Guy) | 1998
The Offspring | The Kids Aren't Alright | 1998
The Offspring | Self Esteem | 1994
The Offspring | Why Don't You Get a Job? | 1998
Blink-182 | All the Small Things | 1999
Blink-182 | What's My Age Again? | 1999
Blink-182 | I Miss You | 2003
Blink-182 | First Date | 2001
Sum 41 | In Too Deep | 2001
Sum 41 | Fat Lip | 2001
Weezer | Buddy Holly | 1994
Weezer | Say It Ain't So | 1994
Weezer | Island in the Sun | 2001
Weezer | Beverly Hills | 2005
Foo Fighters | Everlong | 1997
Foo Fighters | Learn to Fly | 1999
Foo Fighters | The Pretender | 2007
Foo Fighters | Best of You | 2005
Foo Fighters | My Hero | 1998
Foo Fighters | Times Like These | 2002
Bush | Glycerine | 1994
Live | Lightning Crashes | 1994
Collective Soul | Shine | 1993
Toad the Wet Sprocket | Walk on the Ocean | 1991
Gin Blossoms | Hey Jealousy | 1992
Spin Doctors | Two Princes | 1991
Crash Test Dummies | Mmm Mmm Mmm Mmm | 1993
Deep Blue Something | Breakfast at Tiffany's | 1995
Lisa Loeb | Stay (I Missed You) | 1994
Tal Bachman | She's So High | 1999
Vertical Horizon | Everything You Want | 1999
Train | Drops of Jupiter (Tell Me) | 2001
Train | Hey, Soul Sister | 2009
Train | 50 Ways to Say Goodbye | 2012
Creed | With Arms Wide Open | 1999
Creed | My Sacrifice | 2001
Nickelback | How You Remind Me | 2001
Nickelback | Photograph | 2005
Nickelback | Rockstar | 2005
Nickelback | Far Away | 2005
3 Doors Down | Kryptonite | 2000
3 Doors Down | Here Without You | 2002
Lifehouse | You and Me | 2005
Lifehouse | Hanging by a Moment | 2000
Hoobastank | The Reason | 2003
Staind | It's Been Awhile | 2001
Evanescence | Bring Me to Life | 2003
Evanescence | My Immortal | 2003
Evanescence | Call Me When You're Sober | 2006
Linkin Park | In the End | 2000
Linkin Park | Numb | 2003
Linkin Park | What I've Done | 2007
Linkin Park | Crawling | 2000
Linkin Park | Faint | 2003
Linkin Park | Breaking the Habit | 2003
Linkin Park | New Divide | 2009
Linkin Park & Jay-Z | Numb/Encore | 2004
System of a Down | Chop Suey! | 2001
System of a Down | Toxicity | 2001
Rage Against the Machine | Killing in the Name | 1992
Limp Bizkit | Rollin' (Air Raid Vehicle) | 2000
Limp Bizkit | Behind Blue Eyes | 2003
Papa Roach | Last Resort | 2000
Muse | Uprising | 2009
Muse | Starlight | 2006
Muse | Supermassive Black Hole | 2006
Muse | Time Is Running Out | 2003
Muse | Hysteria | 2003

# --- 2000s ---
Coldplay | Viva La Vida | 2008
Coldplay | Yellow | 2000
Coldplay | The Scientist | 2002
Coldplay | Fix You | 2005
Coldplay | Clocks | 2002
Coldplay | Paradise | 2011
Coldplay | A Sky Full of Stars | 2014
Coldplay | Something Just Like This | 2017
Coldplay | Hymn for the Weekend | 2015
Coldplay | Adventure of a Lifetime | 2015
Coldplay | Speed of Sound | 2005
Coldplay | In My Place | 2002
Coldplay | Trouble | 2000
Coldplay | My Universe | 2021
Kylie Minogue | Can't Get You Out of My Head | 2001
Kylie Minogue | Spinning Around | 2000
Kylie Minogue | Love at First Sight | 2002
Kylie Minogue | Padam Padam | 2023
The Killers | Mr. Brightside | 2003
The Killers | Somebody Told Me | 2004
The Killers | When You Were Young | 2006
The Killers | Human | 2008
The Killers | All These Things That I've Done | 2004
Franz Ferdinand | Take Me Out | 2004
Kaiser Chiefs | Ruby | 2007
Kaiser Chiefs | I Predict a Riot | 2004
Arctic Monkeys | I Bet You Look Good on the Dancefloor | 2005
Arctic Monkeys | Do I Wanna Know? | 2013
Arctic Monkeys | R U Mine? | 2012
Arctic Monkeys | 505 | 2007
Arctic Monkeys | Why'd You Only Call Me When You're High? | 2013
The White Stripes | Seven Nation Army | 2003
The Strokes | Last Nite | 2001
The Strokes | Reptilia | 2004
Kings of Leon | Sex on Fire | 2008
Kings of Leon | Use Somebody | 2008
Snow Patrol | Chasing Cars | 2006
Snow Patrol | Run | 2003
Keane | Somewhere Only We Know | 2004
Keane | Everybody's Changing | 2004
The Fray | How to Save a Life | 2005
The Fray | You Found Me | 2008
James Blunt | You're Beautiful | 2004
James Blunt | 1973 | 2007
James Blunt | Goodbye My Lover | 2005
Daniel Powter | Bad Day | 2005
Jason Mraz | I'm Yours | 2008
Jason Mraz | I Won't Give Up | 2012
Jack Johnson | Better Together | 2005
Jack Johnson | Upside Down | 2006
John Mayer | Your Body Is a Wonderland | 2001
John Mayer | Gravity | 2006
John Mayer | Waiting on the World to Change | 2006
John Legend | All of Me | 2013
John Legend | Ordinary People | 2004
Norah Jones | Don't Know Why | 2002
Michael Bublé | Haven't Met You Yet | 2009
Michael Bublé | Home | 2005
Michael Bublé | Feeling Good | 2005
Michael Bublé | Everything | 2007
Michael Bublé | It's Beginning to Look a Lot Like Christmas | 2011
Amy Winehouse | Rehab | 2006
Amy Winehouse | Back to Black | 2006
Amy Winehouse | Valerie | 2007
Amy Winehouse | You Know I'm No Good | 2006
Amy Winehouse | Tears Dry on Their Own | 2007
Duffy | Mercy | 2008
Adele | Chasing Pavements | 2008
Adele | Make You Feel My Love | 2008
Gnarls Barkley | Crazy | 2006
Outkast | Hey Ya! | 2003
Outkast | Ms. Jackson | 2000
Outkast | Roses | 2003
Black Eyed Peas | Where Is the Love? | 2003
Black Eyed Peas | I Gotta Feeling | 2009
Black Eyed Peas | Pump It | 2005
Black Eyed Peas | My Humps | 2005
Black Eyed Peas | Boom Boom Pow | 2009
Black Eyed Peas | Let's Get It Started | 2004
Black Eyed Peas | Meet Me Halfway | 2009
Black Eyed Peas | The Time (Dirty Bit) | 2010
Fergie | Big Girls Don't Cry | 2007
Fergie | Glamorous | 2007
Fergie | London Bridge | 2006
Gwen Stefani | Hollaback Girl | 2005
Gwen Stefani | The Sweet Escape | 2006
Gwen Stefani | Rich Girl | 2004
Nelly Furtado | I'm Like a Bird | 2000
Nelly Furtado | Maneater | 2006
Nelly Furtado | Promiscuous | 2006
Nelly Furtado | Say It Right | 2006
Nelly Furtado | All Good Things (Come to an End) | 2006
Timbaland | Apologize | 2007
Timbaland | The Way I Are | 2007
Justin Timberlake | SexyBack | 2006
Justin Timberlake | Cry Me a River | 2002
Justin Timberlake | Rock Your Body | 2003
Justin Timberlake | What Goes Around...Comes Around | 2006
Justin Timberlake | Mirrors | 2013
Justin Timberlake | Can't Stop the Feeling! | 2016
Justin Timberlake | My Love | 2006
Usher | Yeah! | 2004
Usher | Burn | 2004
Usher | U Remind Me | 2001
Usher | DJ Got Us Fallin' in Love | 2010
Usher | OMG | 2010
Usher | Without You | 2011
Beyoncé | Crazy in Love | 2003
Beyoncé | Single Ladies (Put a Ring on It) | 2008
Beyoncé | Halo | 2008
Beyoncé | If I Were a Boy | 2008
Beyoncé | Irreplaceable | 2006
Beyoncé | Run the World (Girls) | 2011
Beyoncé | Love on Top | 2011
Beyoncé | Drunk in Love | 2013
Beyoncé | Formation | 2016
Beyoncé | Texas Hold 'Em | 2024
Beyoncé | Break My Soul | 2022
Beyoncé | Sweet Dreams | 2009
Beyoncé & Shakira | Beautiful Liar | 2007
Rihanna | Umbrella | 2007
Rihanna | Diamonds | 2012
Rihanna | We Found Love | 2011
Rihanna | Only Girl (In the World) | 2010
Rihanna | Don't Stop the Music | 2007
Rihanna | Disturbia | 2008
Rihanna | Rude Boy | 2009
Rihanna | Work | 2016
Rihanna | Pon de Replay | 2005
Rihanna | SOS | 2006
Rihanna | S&M | 2010
Rihanna | Stay | 2012
Rihanna | Where Have You Been | 2012
Rihanna | What's My Name? | 2010
Rihanna | Love the Way You Lie (Part II) | 2010
Rihanna | Take a Bow | 2008
Rihanna | Lift Me Up | 2022
Rihanna | Needed Me | 2016
Rihanna & Calvin Harris | This Is What You Came For | 2016
Shakira | Hips Don't Lie | 2006
Shakira | Whenever, Wherever | 2001
Shakira | Waka Waka (This Time for Africa) | 2010
Shakira | She Wolf | 2009
Shakira | Underneath Your Clothes | 2001
Shakira | Objection (Tango) | 2002
Shakira | Can't Remember to Forget You | 2014
Alicia Keys | No One | 2007
Alicia Keys | Fallin' | 2001
Alicia Keys | If I Ain't Got You | 2003
Alicia Keys | Girl on Fire | 2012
Alicia Keys | Empire State of Mind (Part II) Broken Down | 2009
Jay-Z & Alicia Keys | Empire State of Mind | 2009
Jay-Z | 99 Problems | 2003
Kanye West | Stronger | 2007
Kanye West | Gold Digger | 2005
Kanye West | Heartless | 2008
Kanye West | Flashing Lights | 2007
Kanye West | Power | 2010
Nelly | Hot in Herre | 2002
Nelly | Dilemma | 2002
Nelly | Just a Dream | 2010
50 Cent | In da Club | 2003
50 Cent | Candy Shop | 2005
50 Cent | 21 Questions | 2003
Akon | Smack That | 2006
Akon | Lonely | 2004
Akon | Right Now (Na Na Na) | 2008
Akon | I Wanna Love You | 2006
Akon | Don't Matter | 2007
Sean Paul | Get Busy | 2003
Sean Paul | Temperature | 2005
Sean Paul | Get Busy | 2003
Sean Paul | No Lie | 2016
Shaggy | It Wasn't Me | 2000
Shaggy | Angel | 2000
Shaggy | Boombastic | 1995
Ne-Yo | So Sick | 2006
Ne-Yo | Miss Independent | 2008
Ne-Yo | Closer | 2008
Chris Brown | With You | 2007
Chris Brown | Forever | 2008
Chris Brown | Kiss Kiss | 2007
Chris Brown | Look at Me Now | 2011
Chris Brown | Loyal | 2014
Leona Lewis | Bleeding Love | 2007
Leona Lewis | Run | 2008
Kelly Clarkson | Since U Been Gone | 2004
Kelly Clarkson | Because of You | 2004
Kelly Clarkson | Stronger (What Doesn't Kill You) | 2011
Kelly Clarkson | Breakaway | 2004
Kelly Clarkson | Behind These Hazel Eyes | 2005
Kelly Clarkson | My Life Would Suck Without You | 2009
Kelly Clarkson | A Moment Like This | 2002
Pink | Get the Party Started | 2001
Pink | Just Like a Pill | 2002
Pink | So What | 2008
Pink | Just Give Me a Reason | 2012
Pink | Raise Your Glass | 2010
Pink | Try | 2012
Pink | Who Knew | 2006
Pink | U + Ur Hand | 2006
Pink | What About Us | 2017
Pink | F**kin' Perfect | 2010
Avril Lavigne | Complicated | 2002
Avril Lavigne | Sk8er Boi | 2002
Avril Lavigne | Girlfriend | 2007
Avril Lavigne | I'm with You | 2002
Avril Lavigne | My Happy Ending | 2004
Avril Lavigne | When You're Gone | 2007
Avril Lavigne | What the Hell | 2011
Michelle Branch | Everywhere | 2001
Vanessa Carlton | A Thousand Miles | 2002
Natasha Bedingfield | Unwritten | 2004
Natasha Bedingfield | These Words | 2004
KT Tunstall | Suddenly I See | 2004
KT Tunstall | Black Horse and the Cherry Tree | 2005
Sugababes | Push the Button | 2005
Sugababes | About You Now | 2007
Sugababes | Round Round | 2002
Girls Aloud | The Promise | 2008
Girls Aloud | Sound of the Underground | 2002
Atomic Kitten | Whole Again | 2001
Atomic Kitten | The Tide Is High (Get the Feeling) | 2002
S Club 7 | Don't Stop Movin' | 2001
S Club 7 | Reach | 2000
Steps | Tragedy | 1998
Steps | 5,6,7,8 | 1997
Sophie Ellis-Bextor | Murder on the Dancefloor | 2001
Sophie Ellis-Bextor | Groovejet (If This Ain't Love) | 2000
Dido | Thank You | 2000
Dido | White Flag | 2003
Dido | Here with Me | 1999
Craig David | 7 Days | 2000
Craig David | Fill Me In | 2000
Daniel Bedingfield | Gotta Get Thru This | 2001
Blue | All Rise | 2001
Busted | Year 3000 | 2002
McFly | All About You | 2005
McFly | Obviously | 2004
Scissor Sisters | I Don't Feel Like Dancin' | 2006
Mika | Grace Kelly | 2007
Mika | Relax, Take It Easy | 2006
Lily Allen | Smile | 2006
Lily Allen | Not Fair | 2009
Lily Allen | The Fear | 2008
Corinne Bailey Rae | Put Your Records On | 2006
Paolo Nutini | New Shoes | 2006
Paolo Nutini | Last Request | 2006
The Fratellis | Chelsea Dagger | 2006
Kasabian | Fire | 2009
Kasabian | Club Foot | 2004
Razorlight | America | 2006
Plain White T's | Hey There Delilah | 2006
Fall Out Boy | Sugar, We're Goin Down | 2005
Fall Out Boy | Dance, Dance | 2005
Fall Out Boy | Thnks fr th Mmrs | 2007
Fall Out Boy | Centuries | 2014
Fall Out Boy | My Songs Know What You Did in the Dark (Light Em Up) | 2013
Panic! at the Disco | I Write Sins Not Tragedies | 2005
Panic! at the Disco | High Hopes | 2018
Panic! at the Disco | Hey Look Ma, I Made It | 2019
My Chemical Romance | Welcome to the Black Parade | 2006
My Chemical Romance | Helena | 2004
My Chemical Romance | I'm Not Okay (I Promise) | 2004
Paramore | Misery Business | 2007
Paramore | Still Into You | 2013
Paramore | Ain't It Fun | 2014
Paramore | The Only Exception | 2009
Paramore | Decode | 2008
Simple Plan | Welcome to My Life | 2004
Simple Plan | Perfect | 2002
Good Charlotte | Lifestyles of the Rich & Famous | 2002
Yellowcard | Ocean Avenue | 2003
Jimmy Eat World | The Middle | 2001
The All-American Rejects | Gives You Hell | 2008
The All-American Rejects | Dirty Little Secret | 2005
Boys Like Girls | The Great Escape | 2006
Hinder | Lips of an Angel | 2005
Daughtry | It's Not Over | 2006
Gavin DeGraw | I Don't Want to Be | 2003
The Script | The Man Who Can't Be Moved | 2008
The Script | Breakeven | 2008
The Script | Hall of Fame | 2012
The Script | For the First Time | 2010
Florence + The Machine | Dog Days Are Over | 2008
Florence + The Machine | You've Got the Love | 2009
Florence + The Machine | Shake It Out | 2011
MGMT | Kids | 2007
MGMT | Electric Feel | 2007
Empire of the Sun | Walking on a Dream | 2008
Foster the People | Pumped Up Kicks | 2010
Phoenix | 1901 | 2009
Vampire Weekend | A-Punk | 2008
Mumford & Sons | Little Lion Man | 2009
Mumford & Sons | I Will Wait | 2012
The Lumineers | Ho Hey | 2012
The Lumineers | Ophelia | 2016
Of Monsters and Men | Little Talks | 2011
Passenger | Let Her Go | 2012
Gotye | Somebody That I Used to Know | 2011
fun. | We Are Young | 2011
fun. | Some Nights | 2012
Lady Gaga | Bad Romance | 2009
Lady Gaga | Poker Face | 2008
Lady Gaga | Just Dance | 2008
Lady Gaga | Paparazzi | 2009
Lady Gaga | Telephone | 2009
Lady Gaga | Alejandro | 2009
Lady Gaga | Born This Way | 2011
Lady Gaga | Applause | 2013
Lady Gaga | Million Reasons | 2016
Lady Gaga | Rain on Me | 2020
Lady Gaga | Hold My Hand | 2022
Lady Gaga | Always Remember Us This Way | 2018
Lady Gaga | Shallow | 2018
Lady Gaga & Bruno Mars | Die with a Smile | 2024
Lady Gaga | Abracadabra | 2025
Katy Perry | Firework | 2010
Katy Perry | Roar | 2013
Katy Perry | I Kissed a Girl | 2008
Katy Perry | Hot n Cold | 2008
Katy Perry | California Gurls | 2010
Katy Perry | Teenage Dream | 2010
Katy Perry | Last Friday Night (T.G.I.F.) | 2011
Katy Perry | Dark Horse | 2013
Katy Perry | The One That Got Away | 2011
Katy Perry | E.T. | 2010
Katy Perry | Wide Awake | 2012
Katy Perry | Part of Me | 2012
Katy Perry | Unconditionally | 2013
Katy Perry | Chained to the Rhythm | 2017

# --- 2010s ---
Adele | Rolling in the Deep | 2010
Adele | Someone Like You | 2011
Adele | Hello | 2015
Adele | Set Fire to the Rain | 2011
Adele | Skyfall | 2012
Adele | When We Were Young | 2015
Adele | Easy on Me | 2021
Adele | Send My Love (To Your New Lover) | 2016
Adele | Rumour Has It | 2011
Adele | Turning Tables | 2011
Bruno Mars | Just the Way You Are | 2010
Bruno Mars | Grenade | 2010
Bruno Mars | The Lazy Song | 2011
Bruno Mars | Locked Out of Heaven | 2012
Bruno Mars | When I Was Your Man | 2012
Bruno Mars | Treasure | 2013
Bruno Mars | 24K Magic | 2016
Bruno Mars | That's What I Like | 2016
Bruno Mars | Talking to the Moon | 2010
Bruno Mars | Marry You | 2010
Bruno Mars | Finesse | 2017
Bruno Mars & Anderson .Paak | Leave the Door Open | 2021
Rosé & Bruno Mars | APT. | 2024
